id,student_id,title,description,domain_tags
1,1,E-commerce Recommender,Perferendis perferendis nesciunt reprehenderit velit autem doloremque ad sunt natus totam dolore.,IoT
2,2,IoT Smart Campus,Odio iure praesentium officiis blanditiis aliquid alias voluptatum.,Data Engineering
3,2,AI Resume Screener,Atque suscipit consequatur iste perferendis quia veniam in.,Data Engineering
4,2,Chatbot Assistant,Suscipit omnis rerum nulla vel eius porro dolor ipsam.,Web
5,3,AI Resume Screener,Sequi aut placeat molestias voluptate facere id deleniti commodi sed.,Web
6,3,Library Management Portal,At distinctio odit voluptas amet ex voluptates ratione dignissimos rerum mollitia nesciunt repellat doloremque.,Web
7,4,Attendance Tracker,Ratione nisi eius voluptates voluptates molestiae reiciendis beatae sint.,AI/ML
8,4,Chatbot Assistant,Accusamus ratione dolores eum cupiditate amet qui minima quia.,Data Engineering
9,5,Campus Event App,Ipsum facere nisi iste dolore nostrum quas tenetur omnis error officia adipisci voluptatum sed.,Cloud
10,5,E-commerce Recommender,Placeat laudantium tenetur asperiores aspernatur non aperiam eius odio molestias eveniet voluptatum minus.,AI/ML
11,6,Weather Prediction Model,Magni inventore recusandae beatae omnis soluta mollitia sint inventore suscipit impedit repudiandae id quas.,IoT
12,6,Attendance Tracker,Incidunt pariatur fugiat corrupti ullam architecto rerum at atque qui repellat nam.,Mobile
13,7,Weather Prediction Model,Vero natus pariatur illum sit velit in totam amet enim est aut magni culpa laboriosam sed.,Cloud
14,8,Weather Prediction Model,Sapiente facilis quis nemo rem sapiente voluptate repellendus nostrum odit ad ut.,Web
15,9,Library Management Portal,Adipisci earum quis ullam expedita delectus corporis omnis architecto qui voluptas.,Data Engineering
16,9,Chatbot Assistant,Quia dolor in exercitationem fuga quam quod necessitatibus.,Cloud
17,10,Campus Event App,Sunt culpa quidem amet aspernatur ipsam incidunt non.,Data Engineering
18,11,IoT Smart Campus,Earum quidem beatae inventore eligendi perspiciatis laborum pariatur aliquid hic nobis ab error.,IoT
19,12,Chatbot Assistant,Quisquam quisquam enim blanditiis libero inventore consectetur minus dolorem nam.,AI/ML
20,13,Campus Event App,Asperiores similique aliquam accusantium ullam similique nemo nemo quae in beatae accusantium.,Data Engineering
21,13,Placement Analytics Dashboard,Cupiditate veniam itaque porro facere ipsa autem ipsa id aspernatur sit quia.,Data Engineering
22,14,Campus Event App,Ex cumque magni beatae magni temporibus expedita quas reprehenderit repellendus.,AI/ML
23,14,Placement Analytics Dashboard,Aut ducimus cupiditate corrupti quis asperiores veritatis occaecati iure natus.,Cloud
24,15,IoT Smart Campus,Ipsum unde natus odio numquam sint occaecati corrupti architecto ipsam esse earum animi magni est iste.,IoT
25,15,Weather Prediction Model,Fuga enim officia voluptate at nisi fugit neque.,Mobile
26,15,IoT Smart Campus,Ipsum repellat officiis eum labore corrupti aperiam.,Data Engineering
27,16,Chatbot Assistant,Repellat saepe voluptatem assumenda officia aliquam provident voluptatibus.,IoT
28,16,Placement Analytics Dashboard,Minima culpa fuga eligendi illum excepturi nisi ratione officia aperiam atque perspiciatis eligendi quam omnis.,Mobile
29,17,Fraud Detection System,Sit ex nesciunt consequuntur expedita voluptas praesentium hic nisi vel est fugiat recusandae repellat pariatur repudiandae.,Cloud
30,17,Weather Prediction Model,Atque perferendis magni accusantium est veritatis exercitationem quisquam deleniti voluptatum culpa eos ratione magni molestiae.,Web
31,18,Attendance Tracker,Alias excepturi quisquam consectetur fugiat cum rerum quo repellat cumque ipsa illum perspiciatis dolores ipsam.,IoT
32,18,Fraud Detection System,Quibusdam quos doloremque dolores vitae quos temporibus deserunt perspiciatis necessitatibus ipsam.,Cloud
33,19,Library Management Portal,Quod magnam in cum dicta non sit amet laboriosam fuga vel.,IoT
34,19,Chatbot Assistant,Sed eligendi quis earum temporibus corporis ipsa veniam dolore iste expedita ad amet magnam doloremque.,IoT
35,19,Weather Prediction Model,Fugiat adipisci ut saepe officiis recusandae consequuntur enim.,IoT
36,20,AI Resume Screener,Possimus consequuntur provident ipsum a aspernatur ducimus rerum molestias quas minus beatae enim error.,Mobile
37,21,Chatbot Assistant,Dolores odit numquam aperiam saepe libero modi.,Cloud
38,22,Campus Event App,Maiores doloribus corporis inventore nostrum dolores impedit optio assumenda voluptate architecto minima magni voluptates mollitia hic.,IoT
39,22,IoT Smart Campus,Aliquam harum fuga quibusdam explicabo architecto dolores omnis aut neque quidem consequatur explicabo excepturi.,Cloud
40,23,AI Resume Screener,Rerum placeat voluptatem laboriosam delectus consequatur quaerat velit alias.,Web
41,23,IoT Smart Campus,Aliquam dicta aliquam ut maiores voluptatibus molestiae ducimus quidem deleniti.,Cloud
42,24,Chatbot Assistant,Similique aliquid omnis earum reiciendis ipsa id ipsam vero excepturi deleniti porro.,Cloud
43,24,Campus Event App,Unde maxime reiciendis quas aspernatur nobis reprehenderit molestias eum aspernatur optio esse.,IoT
44,25,IoT Smart Campus,Quaerat cumque ipsam ipsum quas tenetur nostrum ipsa odit recusandae animi perferendis illo maiores quibusdam cum.,AI/ML
45,26,Attendance Tracker,Consequuntur non quos alias architecto quod facilis.,Mobile
46,26,Weather Prediction Model,Veniam adipisci corrupti ipsum fuga ipsam asperiores consequuntur facilis et eius vero ad.,Mobile
47,26,AI Resume Screener,Libero harum natus ea ea ipsum voluptatum eligendi totam.,Cloud
48,27,Chatbot Assistant,Dicta consequatur asperiores cupiditate quae voluptatum repellat voluptas voluptates pariatur quae mollitia enim error.,AI/ML
49,27,IoT Smart Campus,Quae unde odit recusandae magni commodi dicta consequuntur ratione.,Mobile
50,27,AI Resume Screener,Facere nemo iusto voluptatem consectetur sunt aperiam.,Mobile
51,28,AI Resume Screener,Voluptatum quaerat minima quisquam reprehenderit asperiores voluptas odit ipsum perspiciatis exercitationem soluta quos.,IoT
52,29,Fraud Detection System,Delectus vitae inventore tenetur animi commodi corrupti cum eum quae exercitationem velit tempora sapiente dolorum odio.,Mobile
53,29,Placement Analytics Dashboard,Earum numquam nostrum atque odit nihil neque cupiditate numquam temporibus excepturi unde aliquam sint aspernatur.,IoT
54,30,Attendance Tracker,Eaque distinctio nemo nulla adipisci suscipit molestias odit error doloribus rem illo iste porro culpa.,Mobile
55,30,Fraud Detection System,Laborum dignissimos non est quaerat quasi similique voluptate consectetur fuga natus eum iure.,IoT
56,31,IoT Smart Campus,Ipsum consequuntur amet veniam sint in vitae temporibus repellendus ut quam.,IoT
57,31,Attendance Tracker,Quis libero maiores libero est ad veniam magnam vitae dolor.,Cloud
58,31,E-commerce Recommender,Aliquid eligendi nisi sapiente perferendis enim ab autem consequatur eaque facilis illo.,Mobile
59,32,Fraud Detection System,Id necessitatibus deserunt mollitia asperiores magnam quisquam.,IoT
60,32,Campus Event App,Repudiandae numquam nostrum consectetur atque fuga voluptates nam facilis corporis nobis.,IoT
61,33,IoT Smart Campus,Magnam aliquid consequatur ex labore itaque non maiores eveniet nostrum cum voluptatibus qui.,Data Engineering
62,33,Attendance Tracker,Nisi magni magni laudantium natus labore accusantium ex autem impedit esse.,IoT
63,33,Chatbot Assistant,Ad labore voluptas quos quod neque quam nesciunt cupiditate occaecati nulla sapiente corporis perspiciatis adipisci veniam.,AI/ML
64,34,Attendance Tracker,Deleniti ipsam in impedit dignissimos magnam nostrum iusto.,Cloud
65,34,Library Management Portal,Provident maxime natus voluptatum laboriosam fugiat vero itaque.,Mobile
66,34,Campus Event App,Exercitationem explicabo quo quam officia possimus nostrum deleniti doloribus nam dolore voluptate error enim dignissimos.,AI/ML
67,35,Weather Prediction Model,Et expedita ut recusandae earum commodi perspiciatis fugit voluptatem repellendus veritatis rem enim enim.,Data Engineering
68,35,AI Resume Screener,Expedita ipsam ducimus laboriosam dicta molestiae ut possimus.,AI/ML
69,35,Weather Prediction Model,Autem qui dolores amet temporibus dolorem doloremque aut ex.,AI/ML
70,36,Attendance Tracker,Aut quo a mollitia ut illum vel soluta labore dicta vitae eum officia tenetur.,Data Engineering
71,37,Chatbot Assistant,Officiis doloremque qui sed alias ullam in saepe.,AI/ML
72,37,IoT Smart Campus,Voluptatum id libero vel vitae unde soluta.,IoT
73,38,IoT Smart Campus,Error nobis unde ex iste odit minima.,Cloud
74,38,Weather Prediction Model,Sed iusto deserunt beatae cum itaque ducimus delectus qui.,Cloud
