id,drive_id,student_id,match_score,skill_score,academic_score,project_score,readiness_score,matched_skills,missing_skills,explanation,skill_evidence,missing_skills_explanation,status
1,1,2,34.18,0.0,88.1,0.0,81.05,,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Weighted score 34.18: skills 0.0 (x0.4), academics 88.1 (x0.25), projects 0.0 (x0.2), readiness 81.05 (x0.15).",No overlapping skills on record,"Missing: Data Structures, Git, HTML/CSS, JavaScript, PostgreSQL, REST APIs",Pending
2,1,5,56.29,43.33,75.2,50.0,67.72,"Git,PostgreSQL,REST APIs","Data Structures,HTML/CSS,JavaScript","Weighted score 56.29: skills 43.33 (x0.4), academics 75.2 (x0.25), projects 50.0 (x0.2), readiness 67.72 (x0.15).",Git (proficiency 5/5); PostgreSQL (proficiency 3/5); REST APIs (proficiency 4/5),"Missing: Data Structures, HTML/CSS, JavaScript",Pending
3,1,8,44.45,33.33,87.8,0.0,61.15,"Git,PostgreSQL","Data Structures,HTML/CSS,JavaScript,REST APIs","Weighted score 44.45: skills 33.33 (x0.4), academics 87.8 (x0.25), projects 0.0 (x0.2), readiness 61.15 (x0.15).",Git (proficiency 1/5); PostgreSQL (proficiency 1/5),"Missing: Data Structures, HTML/CSS, JavaScript, REST APIs",Pending
4,1,11,43.29,20.0,94.0,0.0,78.6,"Data Structures,REST APIs","Git,HTML/CSS,JavaScript,PostgreSQL","Weighted score 43.29: skills 20.0 (x0.4), academics 94.0 (x0.25), projects 0.0 (x0.2), readiness 78.6 (x0.15).",Data Structures (proficiency 2/5); REST APIs (proficiency 4/5),"Missing: Git, HTML/CSS, JavaScript, PostgreSQL",Pending
5,1,16,46.42,30.0,91.2,0.0,77.47,"Data Structures,Git,REST APIs","HTML/CSS,JavaScript,PostgreSQL","Weighted score 46.42: skills 30.0 (x0.4), academics 91.2 (x0.25), projects 0.0 (x0.2), readiness 77.47 (x0.15).",Data Structures (proficiency 2/5); Git (proficiency 3/5); REST APIs (proficiency 1/5),"Missing: HTML/CSS, JavaScript, PostgreSQL",Pending
6,1,17,38.5,23.33,76.5,0.0,66.92,PostgreSQL,"Data Structures,Git,HTML/CSS,JavaScript,REST APIs","Weighted score 38.5: skills 23.33 (x0.4), academics 76.5 (x0.25), projects 0.0 (x0.2), readiness 66.92 (x0.15).",PostgreSQL (proficiency 5/5),"Missing: Data Structures, Git, HTML/CSS, JavaScript, REST APIs",Pending
7,1,18,45.58,23.33,94.8,0.0,83.65,JavaScript,"Data Structures,Git,HTML/CSS,PostgreSQL,REST APIs","Weighted score 45.58: skills 23.33 (x0.4), academics 94.8 (x0.25), projects 0.0 (x0.2), readiness 83.65 (x0.15).",JavaScript (proficiency 4/5),"Missing: Data Structures, Git, HTML/CSS, PostgreSQL, REST APIs",Pending
8,1,20,35.11,10.0,81.3,0.0,71.9,Git,"Data Structures,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Weighted score 35.11: skills 10.0 (x0.4), academics 81.3 (x0.25), projects 0.0 (x0.2), readiness 71.9 (x0.15).",Git (proficiency 5/5),"Missing: Data Structures, HTML/CSS, JavaScript, PostgreSQL, REST APIs",Pending
9,1,21,38.48,20.0,85.0,0.0,61.5,"Data Structures,REST APIs","Git,HTML/CSS,JavaScript,PostgreSQL","Weighted score 38.48: skills 20.0 (x0.4), academics 85.0 (x0.25), projects 0.0 (x0.2), readiness 61.5 (x0.15).",Data Structures (proficiency 1/5); REST APIs (proficiency 4/5),"Missing: Git, HTML/CSS, JavaScript, PostgreSQL",Pending
10,1,22,44.34,30.0,85.6,0.0,72.92,"Data Structures,Git,REST APIs","HTML/CSS,JavaScript,PostgreSQL","Weighted score 44.34: skills 30.0 (x0.4), academics 85.6 (x0.25), projects 0.0 (x0.2), readiness 72.92 (x0.15).",Data Structures (proficiency 1/5); Git (proficiency 4/5); REST APIs (proficiency 3/5),"Missing: HTML/CSS, JavaScript, PostgreSQL",Pending
