id,student_id,drive_id,readiness_score,skill_gaps,plan,created_at
1,2,1,81.05,"Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-19T07:58:27.433185
2,5,1,67.72,"Data Structures,HTML/CSS,JavaScript","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,HTML/CSS,JavaScript.",2026-08-16T21:58:27.433197
3,8,1,61.15,"Data Structures,HTML/CSS,JavaScript,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,HTML/CSS,JavaScript,REST APIs.",2026-08-14T04:58:27.433243
4,11,1,78.6,"Git,HTML/CSS,JavaScript,PostgreSQL","Focus on: Git first — complete a project or certification, then revisit remaining gaps: Git,HTML/CSS,JavaScript,PostgreSQL.",2026-08-04T07:58:27.433278
5,16,1,77.47,"HTML/CSS,JavaScript,PostgreSQL","Focus on: HTML/CSS first — complete a project or certification, then revisit remaining gaps: HTML/CSS,JavaScript,PostgreSQL.",2026-08-18T02:58:27.433293
6,17,1,66.92,"Data Structures,Git,HTML/CSS,JavaScript,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript,REST APIs.",2026-08-17T12:58:27.433303
7,18,1,83.65,"Data Structures,Git,HTML/CSS,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,PostgreSQL,REST APIs.",2026-08-13T15:58:27.433312
8,20,1,71.9,"Data Structures,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-06T17:58:27.433321
9,21,1,61.5,"Git,HTML/CSS,JavaScript,PostgreSQL","Focus on: Git first — complete a project or certification, then revisit remaining gaps: Git,HTML/CSS,JavaScript,PostgreSQL.",2026-08-07T10:58:27.433330
10,22,1,72.92,"HTML/CSS,JavaScript,PostgreSQL","Focus on: HTML/CSS first — complete a project or certification, then revisit remaining gaps: HTML/CSS,JavaScript,PostgreSQL.",2026-08-20T22:58:27.433338
11,23,1,62.05,"Data Structures,Git,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,JavaScript,PostgreSQL,REST APIs.",2026-08-20T05:58:27.433347
12,29,1,71.0,"Data Structures,Git,HTML/CSS,JavaScript","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,Git,HTML/CSS,JavaScript.",2026-08-12T19:58:27.433361
13,30,1,80.0,"Data Structures,HTML/CSS,JavaScript,PostgreSQL,REST APIs","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,HTML/CSS,JavaScript,PostgreSQL,REST APIs.",2026-08-09T04:58:27.433380
14,31,1,78.8,"Data Structures,PostgreSQL","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,PostgreSQL.",2026-08-19T12:58:27.433397
15,37,1,71.82,"Data Structures,HTML/CSS,JavaScript,PostgreSQL","Focus on: Data Structures first — complete a project or certification, then revisit remaining gaps: Data Structures,HTML/CSS,JavaScript,PostgreSQL.",2026-08-12T18:58:27.433404
